Original Domain,Typo Variant,Squatting Type,Category,Toxic Score,Spam Score,Formality Score,Scraped Content
ba.ac.uk,ba.ac.backup.uk,keyboard,Ad parking,0.00,0.87,0.91,"backup.uk backup.uk RDAP WHOIS For Sale! backup.uk This domain name is available to purchase If you wish to purchase this domain, please make an offer here or contact us at: webber.domains +44 333 444 3340 Make an offer Send offer"
ba.ac.uk,ba.aqc.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.contact.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.afc.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,baj.ac.uk,keyboard,Crawl error,0.05,0.89,0.99,403 Forbidden 403 Forbidden nginx
ba.ac.uk,ba.gac.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.acq.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e2996bc1b197 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.user.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.mx.uk,keyboard,Other,0.00,0.93,0.99,ANY-Web You need to enable JavaScript to run this app.
ba.ac.uk,ba.ac.owa.uk,keyboard,Ad parking,0.00,0.82,0.98,[EN]: owa.uk - owa owa.uk The domain name owa.uk is for sale! CLICK HERE FOR MORE INFORMATION
ba.ac.uk,ba.aa.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.oac.uk,keyboard,Authoritative,0.00,0.88,0.92,"OAC.uk OAC.uk RDAP WHOIS For Sale! OAC.uk This domain name is available to purchase If you wish to purchase this domain, please make an offer here or contact us at: webber.domains +44 333 444 3340 Make an offer Send offer"
ba.ac.uk,ba.ac.events.uk,keyboard,For sale,0.00,0.93,0.98,events.uk  is possibly for sale
ba.ac.uk,ba.ac.cp.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.reports.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.pop.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.zc.uk,keyboard,Other,0.00,0.93,0.99,ANY-Web You need to enable JavaScript to run this app.
ba.ac.uk,ba.ac.notifications.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.viewer.uk,keyboard,Authoritative,0.00,0.88,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e3bd0cb5eeb2 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.secure.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.kg,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.rentals,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,bca.ac.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.upload.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.ns.uk,keyboard,Other,0.00,0.93,0.99,ANY-Web You need to enable JavaScript to run this app.
ba.ac.uk,ba.axc.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93b9e46a8ca734a0 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ba.ac.uk,ba.ac.dashboard.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.ac.parts,keyboard,Other,0.00,0.84,0.98,Server under maintenance
ba.ac.uk,ba.ac.imap.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ca.uk,keyboard,Crawl error,0.00,0.00,0.00,
ba.ac.uk,ba.uac.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.products.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.forum.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.si,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ba.ac.uk,ba.ac.exchange.uk,keyboard,No content,0.00,0.00,0.00,
ba.ac.uk,ba.ac.tm,keyboard,Ad parking,0.00,0.58,0.99,"ac.tm - This is a premium name ac.tm This is a premium name I want it! Imagine... you@ac.tm www.ac.tm Get an .tm domain! Copyright © NIC.TM. All rights reserved. Powered by Domains.io LTD, UK."
ba.ac.uk,ba.xac.uk,keyboard,Coinciding,0.00,0.90,0.93,"Domain: ba.xac.uk ba.xac.uk This domain name may be in non-web use, or reserved for other projects. Please use the form below to contact if required. Send Message © Hey.co.uk Ltd 2025 | Timestamp: 2025-05-06 16:36:21 | Hash: 645b1d702d65"
